timestamp,road,distance_meters,duration_free_sec,duration_traffic_sec,volume_index
2025-09-11 06:34:59,South,1248,231,265,1.15
2025-09-11 06:34:59,East,1278,183,183,1.0
2025-09-11 06:34:59,East,736,126,141,1.12
2025-09-11 06:34:59,North,962,121,123,1.02
2025-09-11 06:34:59,North,776,95,97,1.02
2025-09-11 06:40:08,West,1092,143,149,1.04
2025-09-11 06:40:08,West,1668,273,289,1.06
2025-09-11 06:40:08,South,1478,234,236,1.01
2025-09-11 06:40:08,South,1248,231,249,1.08
2025-09-11 06:40:08,East,1278,183,178,0.97
2025-09-11 06:40:08,East,736,126,135,1.07
2025-09-11 06:40:08,North,962,121,113,0.93
2025-09-11 06:40:08,North,776,95,94,0.99
2025-09-11 06:45:16,West,1092,143,137,0.96
2025-09-11 06:45:16,West,1668,273,277,1.01
2025-09-11 06:45:16,South,1478,234,236,1.01
2025-09-11 06:45:16,South,1248,231,258,1.12
2025-09-11 06:45:16,East,1278,183,179,0.98
2025-09-11 06:45:16,East,736,126,139,1.1
2025-09-11 06:45:16,North,962,121,120,0.99
2025-09-11 06:45:16,North,776,95,92,0.97
2025-09-11 06:50:25,West,1092,143,116,0.81
2025-09-11 06:50:25,West,1668,273,281,1.03
2025-09-11 06:50:25,South,1478,234,233,1.0
2025-09-11 06:50:25,South,1248,231,256,1.11
2025-09-11 06:50:25,East,1278,183,174,0.95
2025-09-11 06:50:25,East,736,126,136,1.08
2025-09-11 06:50:25,North,962,121,106,0.88
2025-09-11 06:50:25,North,776,95,91,0.96
2025-09-11 06:55:36,West,1092,143,153,1.07
2025-09-11 06:55:36,West,1668,273,281,1.03
2025-09-11 06:55:36,South,1478,234,240,1.03
2025-09-11 06:55:36,South,1248,231,261,1.13
2025-09-11 06:55:36,East,1278,183,171,0.93
2025-09-11 06:55:36,East,736,126,150,1.19
2025-09-11 06:55:36,North,962,121,118,0.98
2025-09-11 06:55:36,North,776,95,96,1.01
2025-09-11 07:00:51,West,1092,143,176,1.23
2025-09-11 07:00:51,West,1668,273,311,1.14
2025-09-11 07:00:51,South,1478,234,257,1.1
2025-09-11 07:00:51,South,1248,231,294,1.27
2025-09-11 07:00:51,East,1278,183,175,0.96
2025-09-11 07:00:51,East,736,126,145,1.15
2025-09-11 07:00:51,North,962,121,139,1.15
2025-09-11 07:00:51,North,776,95,95,1.0
